1;cura, -ae;;;";";preoccupazione;;sì;30;30
2;iniuria, -ae;;;";";offesa;;sì;30;30
3;silva, -ae;;;";";bosco;;sì;30;30
4;pecunia, -ae;;;";";denaro;;sì;30;30
5;sententia, -ae;;;";";opinione;;sì;30;30
6;puella, -ae;;;";";fanciulla;;sì;30;30
7;fera, -ae;;;";";fiera, belva;;sì;30;30
8;pugna, -ae;;;";";battaglia;;sì;30;30
9;fortuna, -ae;;;";";sorte;;sì;30;30
10;fortunae, -arum;;;";";ricchezza, patrimonio;;sì;30;30
11;copia, -ae;;;";";abbondanza, quantità;;sì;30;30
12;copiae, -arum;;;";";truppe;;sì;30;30
13;littera, -ae;;;";";lettera dell'alfabeto;;sì;30;30
14;litterae, -arum;;;";";letteratura;;sì;30;30
;;;;;;;;;
;;;;;;;;;
1;mora, -ae;;;";";ritardo;;sì;30;30
2;divitiae, -arum;;;";";ricchezza;;sì;30;30
3;aura, -ae;;;";";brezza;;sì;30;30
4;insidiae, -arum;;;";";agguato;;sì;30;30
5;gratia, -ae;;;";";"favore (se trovi questo termine all'ablativo preceduto da genitivo significa ""a causa di"" + il genitivo)";;sì;30;30
6;ora, -ae;;;";";costa;;sì;30;30
7;"custodia, -ae (oltre a ""custodia"")";;;";";sentinella;;sì;30;30
8;minae, -arum;;;";";minaccia;;sì;30;30
9;Athenae, -arum;;;";";Atene (serve a ricordarti che i nomi di città sono spesso al plurale);;sì;30;30
10;sum;";";sum, es, fui, esse;||;essere;;sì;30;30
11;possum;";";possum, potes, potui, posse;||;potere;;sì;30;30
12;facio;";";facio, -is, feci, factum, -ere;||;fare;;sì;30;30
13;dico;";";dico, -is, dixi, dictum, -ere;||;dire;;sì;30;30
14;do;";";do, das, dedi, datum, dare;||;dare;;sì;30;30
;;;;;;;;;
;;;;;;;;;
1;"et (oltre a ""e"")";;;";";anche, sia… sia... (in questo caso devono essere in coppia);;sì;30;30
2;#NOME?;;;";";"e ""parola""";;sì;30;30
3;sed;;;";";ma;;sì;30;30
4;si;;;";";se;;sì;30;30
5;nec;;;";";né, e non;;sì;30;30
6;aut;;;";";o, oppure;;sì;30;30
7;ac;;;";";e;;sì;30;30
8;atque;;;";";e;;sì;30;30
9;enim;;;";";infatti;;sì;30;30
10;etiam;;;";";anche;;sì;30;30
11;quod (cong.);;;";";poiché;;sì;30;30
12;nam;;;";";infatti;;sì;30;30
13;autem;;;";";inoltre, ma, d'altra parte;;sì;30;30
14;quia;;;";";poiché;;sì;30;30
;;;;;;;;;
;;;;;;;;;
*;is, ea, id;";";is, ea, id / eius, eius, eius / ei, ei, ei /eum, eam, id / eo, ea, eo  //  ii(ei), eae, ea / eorum, earum, eorum / iis (eis), iis (eis), iis (eis) / eos, eas, ea / iis (eis), iis (eis), iis (eis);||;egli, quello;;sì;30;30
*;ego;";";ego, mei, mihi, me, me;||;io;;sì;30;30
*;sui;";";sui, sibi, se, se;||;sé, se stesso;;sì;30;30
*;tu;";";tu, tui, tibi, te, te;||;tu;;sì;30;30
*;nos;";";nos, nostri, nobis, nos, nobis;||;noi;;sì;30;30
*;vos;";";vos, vestri, vobis, vos, vobis;||;voi;;sì;30;30
;;;;;;;;;
;;;;;;;;;
1;bellum, -i;;;";";guerra;;sì;30;30
2;domus, -i;;;";";casa;;sì;30;30
3;pŏpŭlus, -i;;;";";"popolo (ricorda che, anche se si trova raramente, esiste anche un ""pōpŭlus, -i"" che significa ""pioppo"" e che tra l'altro, essendo un nome di pianta, è femminile)";;sì;30;30
4;imperium, i;;;";";potere, comando;;sì;30;30
5;modus, -i;;;";";misura;;sì;30;30
6;verbum, -i;;;";";parola;;sì;30;30
7;signum, -i;;;";";segnale, statua, insegna;;sì;30;30
8;equus, -i;;;";";cavallo;;sì;30;30
9;proelium, -i;;;";";battaglia;;sì;30;30
10;telum, -i;;;";";lancia, freccia;;sì;30;30
11;puer, -i;;;";";bambino, ragazzo;;sì;30;30
12;legatus, -i;;;";";ambasciatore;;sì;30;30
13;ager, agri;;;";";terreno;;sì;30;30
14;ingenium, -i;;;";";natura, indole, intelligenza;;sì;30;30
;;;;;;;;;
;;;;;;;;;
1;studium, -i;;;";";impegno;;sì;30;30
2;"spatium, -i (oltre a ""spazio"")";;;";";tempo;;sì;30;30
3;socius, -i;;;";";alleato;;sì;30;30
4;aurum, -i;;;";";oro;;sì;30;30
5;"praesidium, -i (oltre a ""presidio"")";;;";";difesa;;sì;30;30
6;dominus, -i;;;";";padrone;;sì;30;30
7;oppidum, -i;;;";";città (piccola ma fortificata);;sì;30;30
8;officium, -i;;;";";compito;;sì;30;30
9;habeo;";";habeo, -es, habui, habitum, habere;||;avere, possedere;;sì;30;30
10;video;";";video, -es, vidi, visum, -ere;||;vedere;;sì;30;30
